Burghardt_ID,street_address,Side,space_type,SPP,common,MULTI_STEM,DBH_2018,Ht_2018,Notes_2018,Condition,area_id,grade,grade_group,mean_temp_C,Status,HOLC_neigh,SPACELENGTH,SPACEWIDTH,survey_date,Observer(s),Site Type,Land Use,Groundcover,Mortality Status,Basal Sprouts,Root Girdling,Tree Height (ft),Trunk Diameter (in),Height of Diameter (in),Fine Twig Dieback,Leaf Discoloration,Leaf Defoliation,Crown Light Exposure,Crown Vigor,Exit Holes,Exudation/Growths,Galleries,Bark Fissures/cankers,Scale,Aphids,Twig/branch Galls,Leaf Galls,SLF,Natural Enemies,Ants,Pruning,Watering,Fencing,Vehicle Damage,survey_notes,dog_poop,trash,spider_mite,foreign_embedded,Species ID Notes,Overhead Conflicts,Flatids,Whitefly,caterpillars_combined,Phi2,PhiNPQ,PhiNO,Ambient Humidity,Ambient Temperature,Leaf Temperature,Leaf Temperature Differential,leaf_thickness,SPAD,photosynq_date,Time of Day,temp_C,lat,long,buffer_temp_C
173018,"201 SAINT MARTINS ROAD, Baltimore, MD",Front,Tree Lawn,Cladrastis kentukea,yellowwood,1,1.3,12,NA,Good,2877,A,AB,34.1545391,Focal,A1,>20,7,7/2/2024,KM KTB ALP,Sidewalk Planting Strip,Single-family Residential-detached,Properly mulched,Alive,Absent,0 (none),23.1,6.3,54,(1) 0-1%,1 (0-1%),1 (0-1%),3,1 (healthy),None,Honeydew/sooty mold,None,Trace,Moderate,None,None,None,None,Substantive,Substantive,Healed,None,Absent,Car (off ground),NA,Absent,Absent,Absent,Absent,NA,None,None,None,None,0.385,0.409,0.207,36.05664,31.04,30.43,-0.61,0.05,34.126,7/2/2024 11:03,11.06222222,34.47515869140625,39.33451481,-76.61343459,34.4753314426967
147253,"4402 GREENWAY, Baltimore, MD",Side,Tree Lawn,Cladrastis kentukea,yellowwood,1,2,10,NA,Good,2877,A,AB,34.1545391,Focal,A1,>20,7,7/2/2024,KM KTB ALP,Sidewalk Planting Strip,Single-family Residential-detached,Bare ground,Alive,Present,0 (none),13.54,3.03,49,(1) 0-1%,1 (0-1%),1 (0-1%),5 (all sides in sun),1 (healthy),Small round with sawdust tube (Ambrosia or bark beetles),None,None,Trace,Substantive,None,None,None,None,Trace,Trace,Improper,None,Absent,None,strip being fertilized,Absent,Absent,Absent,Absent,NA,None,None,None,None,0.29,0.562,0.148,40.5293,28.49,30.47,1.98,0.03,38.219,7/2/2024 12:45,12.75333333,34.018428802490234,39.34347137,-76.61915741,34.0174882071359
48274,"5103 SPRINGLAKE WAY, Baltimore, MD",Front,Tree Lawn,Cladrastis kentukea,yellowwood,1,2.8,12,NA,Good,2877,A,AB,34.1545391,Focal,A1,>20,20,7/2/2024,KM KTB ALP,Sidewalk Planting Strip,Single-family Residential-detached,Lawn,Alive,Absent,0 (none),25.86,7.83,39,(1) 0-1%,2 (2-25%),1 (0-1%),5 (all sides in sun),1 (healthy),None,None,None,None,None,None,None,None,None,None,Trace,Improper,None,Absent,Car (off ground),trace leaf hopper,Absent,Absent,Absent,Absent,NA,None,None,None,None,0.563,0.191,0.246,33.27734,34.89,30.01,-4.88,0.31,34.64,7/2/2024 14:22,14.37583333,33.36587142944336,39.35512667,-76.61630805,33.3917895725795
148985,"4100 GREENWAY, Baltimore, MD",Front,Tree Lawn,Quercus palustris,"oak, pin",1,2.8,10,NA,Good,2877,A,AB,34.1545391,Focal,A1,>20,8,7/3/2024,KM KTB ALP,Sidewalk Planting Strip,Single-family Residential-detached,Lawn,Removed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.06591033935547,39.33974464,-76.61485721,34.0801773071289
97999,"400 OVERHILL ROAD, Baltimore, MD",Front,Tree Lawn,Quercus palustris,"oak, pin",1,3.4,8,NA,Good,2877,A,AB,34.1545391,Focal,A1,>20,7,7/3/2024,KM KTB ALP,Sidewalk Planting Strip,Single-family Residential-detached,Lawn,Alive,Absent,0 (none),28.94,7.44,54,(1) 0-1%,2 (2-25%),1 (0-1%),5 (all sides in sun),1 (healthy),None,None,None,Trace,Trace,None,Trace,None,Trace,Moderate,None,Healed,None,Absent,Car (off ground),"flatid eggs, orange fungus/lichen on branches, psocoptera",Absent,Absent,Trace,Absent,NA,NA,Trace,None,None,0.451,0.302,0.247,35.7666,34.79,30.87,-3.92,0.44,42.732,7/3/2024 14:14,14.24555556,34.360958099365234,39.34092702,-76.63046098,34.3657736778259
180456,"3414 GUILFORD TERR, Baltimore, MD",Front,Tree Lawn,Quercus palustris,"oak, pin",1,1.3,10,NA,Good,2877,A,AB,34.1545391,Focal,A1,>20,4,7/2/2024,KM KTB ALP,Sidewalk Planting Strip,Single-family Residential-attached,Lawn,Alive,Absent,0 (none),15.4,3.33,54,(1) 0-1%,3 (26-50%),2 (2-25%),5 (all sides in sun),2 (slightly unhealthy),None,None,None,None,Substantive,Trace,None,None,Moderate,Trace,Moderate,Healed,None,Absent,None,pavers and grass ground cover. staples in bark,Absent,Absent,None,Present,NA,None,None,None,None,0.569,0.201,0.23,44.79688,25.96,26.11,0.15,0.04,24.509,7/2/2024 10:27,10.46333333,35.57061004638672,39.33047297,-76.61307879,35.575834274292
179208,"3519 N CALVERT ST, Baltimore, MD",Front,Tree Lawn,Quercus palustris,"oak, pin",1,1.3,8,NA,Good,2877,A,AB,34.1545391,back-up,A1,8,4,7/3/2024,KM KTB ALP,Sidewalk Cutout,Mixed Use,Herbaceous,Alive,Absent,0 (none),23.41,3.85,54,(1) 0-1%,1 (0-1%),1 (0-1%),4,1 (healthy),None,Honeydew/sooty mold,None,None,Moderate,None,None,None,None,Moderate,Trace,Healed,None,Absent,Car (off ground),acanaloniid nymphs,Absent,Absent,None,Absent,NA,None,None,None,Trace,0.51,0.245,0.245,36.32324,35.22,33.81,-1.41,0.02,34.828,7/3/2024 14:39,14.65472222,34.46900939941406,39.33199471,-76.61430637,34.5052462986537
147910,"8 E 39TH ST, Baltimore, MD",Front,Open/Unrestricted,Quercus alba,"oak, white",1,1.4,10,NA,Good,2877,A,AB,34.1545391,Focal,A1,>20,>20,7/2/2024,KM KTB ALP,Front Yard,Single-family Residential-detached,Lawn,Alive,Absent,0 (none),17.9,4.06,54,(1) 0-1%,1 (0-1%),2 (2-25%),1,1 (healthy),Round in rows (sapsucker),None,None,None,None,None,None,Trace,None,Trace,None,Improper,None,Absent,None,NA,Absent,Absent,None,Absent,NA,None,None,None,Trace,0.626,0.087,0.287,35.21289,32.65,26.67,-5.98,0.75,45.978,7/2/2024 11:29,11.49416667,34.4090461730957,39.33650289,-76.61577704,34.4129742213658
172542,"3802 JUNIPER ROAD, Baltimore, MD",Front,Tree Lawn,Quercus alba,"oak, white",1,2,10,NA,Good,2877,A,AB,34.1545391,Focal,A1,>20,11,7/2/2024,KM KTB ALP,Sidewalk Planting Strip,Single-family Residential-detached,Lawn,Alive,Absent,0 (none),31.62,8.92,54,(1) 0-1%,1 (0-1%),1 (0-1%),3,1 (healthy),Other (take picture/add notes),None,None,None,None,Trace,None,None,Trace,Trace,Trace,Healed,None,Absent,Car (off ground),"exit holes not deep, maybe bird",Absent,Absent,None,Absent,"pointy lobes, hybrid?",None,None,None,None,0.591,0.132,0.277,38.88672,29.76,26.89,-2.87,0.22,27.866,7/2/2024 10:46,10.7825,34.57500457763672,39.33457354,-76.610722,34.574511391776
52573,"209 CHURCHWARDENS ROAD, Baltimore, MD",Side,Open/Unrestricted,Quercus alba,"oak, white",1,3.5,6,DBH at 1,Good,2877,A,AB,34.1545391,back-up,A1,>20,>20,7/3/2024,KM KTB ALP,Front Yard,Single-family Residential-detached,Properly mulched,Alive,Absent,0 (none),14.43,3.28,54,(1) 0-1%,2 (2-25%),1 (0-1%),2,1 (healthy),None,None,None,Trace,None,None,None,Trace,None,Moderate,Trace,None,None,Absent,None,under a juniper. moderate lacebug -discoloration.,Absent,Absent,None,Absent,NA,None,None,None,Moderate,0.581,0.177,0.242,37.96387,33.85,32.63,-1.22,0.36,41.015,7/3/2024 14:58,14.97416667,34.33249282836914,39.36415977,-76.61842665,34.3160187857492
