polygon_id,class,pixel_count
2884,1,6
2884,3,780431
2884,5,488590
2884,6,2305
2884,7,159978
2884,8,127726
2884,9,163114
2884,10,59418
2884,11,79086
2884,12,85040
2884,35,69
2884,37,324
2884,38,115
2884,53,5280
2884,58,362
2884,73,2
2884,83,20
2884,85,1194
2884,93,65
2884,95,196
2884,98,17
2884,105,2
2884,115,106
2884,117,107
2884,125,77
2884,127,10
2884,210,583
2884,211,1909
2884,212,914
2899,1,1870
2899,3,1759278
2899,5,471242
2899,6,4406
2899,7,105484
2899,8,102647
2899,9,124977
2899,10,18534
2899,11,37385
2899,12,65146
2899,35,2381
2899,36,4137
2899,37,543
2899,38,11090
2899,53,3961
2899,56,25
2899,58,2058
2899,73,61
2899,83,329
2899,85,4
2899,93,109
2899,95,46
2899,98,5
2899,105,111
2899,115,200
2899,117,117
2899,125,120
2899,126,3
2899,127,2
2899,128,11
2899,210,188
2899,211,1011
2899,212,321
2903,3,3028880
2903,5,1426016
2903,6,6133
2903,7,535927
2903,8,565353
2903,9,529078
2903,10,70831
2903,11,143075
2903,12,196575
2903,35,13026
2903,37,3836
2903,38,8201
2903,53,12166
2903,56,656
2903,57,5365
2903,58,1714
2903,63,73
2903,67,200
2903,73,334
2903,75,3855
2903,83,1129
2903,85,4579
2903,87,5606
2903,93,1360
2903,95,635
2903,97,716
2903,98,63
2903,105,923
2903,115,2870
2903,117,782
2903,118,11
2903,125,1775
2903,127,54
2903,128,8
2903,210,1296
2903,211,4346
2903,212,1696
2923,1,13913
2923,3,3609835
2923,4,3844
2923,5,1304285
2923,6,179
2923,7,510535
2923,8,677943
2923,9,594096
2923,10,206194
2923,11,250892
2923,12,336153
2923,13,38
2923,35,5596
2923,37,989
2923,38,4218
2923,43,89
2923,53,8855
2923,57,4478
2923,58,19295
2923,73,44
2923,83,468
2923,85,3623
2923,87,699
2923,93,243
2923,95,286
2923,98,984
2923,105,922
2923,115,1630
2923,117,369
2923,118,7
2923,125,1971
2923,127,24
2923,128,8
2923,210,1021
2923,211,4059
2923,212,1765
2869,1,8431
2869,3,419976
2869,4,1097
2869,5,1023685
2869,6,11140
2869,7,2415813
2869,8,2211900
2869,9,1779141
2869,10,31619
2869,11,136508
2869,12,157415
2869,13,5
2869,35,5567
2869,36,856
2869,37,79
2869,38,2271
2869,43,13
2869,53,13430
2869,56,121
2869,57,1213
2869,58,13755
2869,73,1327
2869,75,13244
2869,78,18675
2869,83,5338
2869,85,29982
2869,86,14
2869,87,23550
2869,93,4719
2869,95,816
2869,97,5
2869,98,611
2869,105,2716
2869,108,510
2869,115,1703
2869,116,2
2869,117,140
2869,118,76
2869,125,1774
2869,126,19
2869,127,12
2869,128,23
2869,210,5271
2869,211,23447
2869,212,17959
2904,3,1191812
2904,5,763846
2904,6,1123
2904,7,281836
2904,8,287449
2904,9,263917
2904,10,45112
2904,11,91750
2904,12,100169
2904,35,4583
2904,37,2349
2904,38,640
2904,53,5792
2904,57,2
2904,58,847
2904,73,146
2904,83,535
2904,85,546
2904,87,55
2904,93,399
2904,95,146
2904,98,27
2904,105,296
2904,115,1642
2904,117,588
2904,125,947
2904,127,33
2904,128,8
2904,210,669
2904,211,2081
2904,212,839
2881,1,20724
2881,3,4322026
2881,4,1792
2881,5,1669428
2881,6,2565
2881,7,735205
2881,8,749253
2881,9,706703
2881,10,241484
2881,11,309856
2881,12,475020
2881,13,52
2881,35,9901
2881,36,147
2881,37,886
2881,38,24073
2881,43,68
2881,53,16189
2881,56,17485
2881,57,338
2881,58,29175
2881,65,3897
2881,67,22
2881,73,177
2881,83,1334
2881,85,7376
2881,86,509
2881,87,72
2881,93,649
2881,95,363
2881,98,1163
2881,105,834
2881,108,1
2881,115,584
2881,117,78
2881,118,34
2881,125,1747
2881,127,28
2881,128,66
2881,210,1825
2881,211,8361
2881,212,3101
2921,1,24
2921,3,3939614
2921,4,5594
2921,5,3152818
2921,6,1365
2921,7,1924341
2921,8,2318212
2921,9,1635358
2921,10,302159
2921,11,481515
2921,12,514863
2921,35,11346
2921,36,1554
2921,37,3458
2921,38,4748
2921,43,35
2921,53,22572
2921,56,10829
2921,57,4472
2921,58,28136
2921,63,7
2921,65,7220
2921,68,4787
2921,73,492
2921,75,6480
2921,76,18
2921,78,10886
2921,83,2513
2921,85,15727
2921,86,9380
2921,87,3110
2921,93,1033
2921,95,498
2921,98,764
2921,105,2932
2921,108,1065
2921,115,2102
2921,116,21
2921,117,933
2921,118,14
2921,125,1873
2921,126,5
2921,127,115
2921,128,12
2921,210,3927
2921,211,18157
2921,212,6139
2925,1,182001
2925,3,1607871
2925,5,1430216
2925,6,8436
2925,7,1164857
2925,8,1201607
2925,9,1001858
2925,10,72444
2925,11,176318
2925,12,222772
2925,31,25
2925,35,4503
2925,36,68
2925,37,729
2925,38,3081
2925,51,1046
2925,53,12002
2925,56,3486
2925,57,1231
2925,58,9969
2925,73,730
2925,75,1062
2925,78,5429
2925,83,2551
2925,85,24006
2925,86,2099
2925,87,4394
2925,93,2066
2925,95,1062
2925,96,3
2925,97,240
2925,98,578
2925,105,2082
2925,108,22
2925,115,3899
2925,117,188
2925,118,11
2925,125,3647
2925,127,72
2925,128,21
2925,210,2474
2925,211,9356
2925,212,5511
2877,1,1904
2877,3,5541704
2877,5,3394060
2877,6,8049
2877,7,2369803
2877,8,1866114
2877,9,1738537
2877,10,429239
2877,11,582462
2877,12,827744
2877,13,1
2877,18,30302
2877,35,9567
2877,37,4353
2877,38,14119
2877,53,32761
2877,56,5883
2877,57,2471
2877,58,45238
2877,65,5906
2877,67,4116
2877,68,1430
2877,73,780
2877,75,53
2877,78,1535
2877,83,3550
2877,85,17952
2877,86,152
2877,87,15432
2877,93,2585
2877,95,997
2877,98,877
2877,105,1695
2877,108,1
2877,115,3272
2877,117,1262
2877,118,46
2877,125,2905
2877,127,137
2877,128,69
2877,210,4921
2877,211,20336
2877,212,10160
2905,1,27962
2905,3,3033736
2905,5,1759395
2905,6,8467
2905,7,856757
2905,8,768237
2905,9,778555
2905,10,72764
2905,11,147700
2905,12,210857
2905,35,19855
2905,36,22452
2905,37,3324
2905,38,8021
2905,53,11357
2905,56,11372
2905,57,5837
2905,58,7938
2905,63,73
2905,67,200
2905,73,568
2905,75,3990
2905,83,1756
2905,85,11418
2905,86,21
2905,87,7329
2905,93,1738
2905,95,1398
2905,96,2170
2905,97,716
2905,98,752
2905,105,1591
2905,115,3375
2905,116,44
2905,117,727
2905,118,115
2905,125,3130
2905,126,5
2905,127,59
2905,128,65
2905,210,2288
2905,211,6828
2905,212,3184
2870,1,2078
2870,3,968458
2870,4,8186
2870,5,2193996
2870,6,7791
2870,7,2609504
2870,8,2931303
2870,9,2133739
2870,10,67338
2870,11,257186
2870,12,211736
2870,35,16535
2870,36,856
2870,37,1147
2870,38,2412
2870,43,207
2870,53,18656
2870,56,121
2870,57,1723
2870,58,25345
2870,63,8
2870,73,1542
2870,75,20642
2870,78,56515
2870,83,6113
2870,85,33535
2870,86,14
2870,87,19955
2870,93,4644
2870,95,533
2870,97,53
2870,98,522
2870,105,4187
2870,108,636
2870,115,3375
2870,116,2
2870,117,446
2870,118,60
2870,125,1902
2870,126,19
2870,127,201
2870,128,10
2870,210,5363
2870,211,25293
2870,212,16708
2894,1,123004
2894,3,5790031
2894,4,1972
2894,5,4371471
2894,6,12390
2894,7,2231534
2894,8,2146481
2894,9,2030009
2894,10,371444
2894,11,454701
2894,12,655309
2894,13,19
2894,31,25
2894,35,15309
2894,36,6159
2894,37,3101
2894,38,1964
2894,43,20
2894,51,1046
2894,53,28550
2894,56,9760
2894,57,1734
2894,58,7569
2894,65,1667
2894,67,10
2894,68,179
2894,73,1603
2894,75,2362
2894,78,4997
2894,83,3474
2894,85,10655
2894,86,3487
2894,87,9865
2894,93,1887
2894,95,1387
2894,96,200
2894,97,847
2894,98,354
2894,105,3163
2894,108,116
2894,115,5821
2894,117,972
2894,118,3
2894,125,5977
2894,126,6
2894,127,130
2894,128,9
2894,210,4875
2894,211,15256
2894,212,6624
2875,1,311601
2875,3,1336864
2875,5,1974596
2875,6,8591
2875,7,1139769
2875,8,933628
2875,9,990850
2875,10,124567
2875,11,195392
2875,12,274277
2875,35,11385
2875,37,2267
2875,38,385
2875,53,12802
2875,56,1566
2875,57,68
2875,58,4694
2875,63,20
2875,65,3560
2875,67,1852
2875,68,2544
2875,73,529
2875,75,5344
2875,78,1008
2875,83,1853
2875,85,33615
2875,86,1
2875,87,948
2875,93,1666
2875,95,629
2875,98,57
2875,105,1076
2875,115,2415
2875,117,1317
2875,125,1488
2875,127,80
2875,128,1
2875,210,2543
2875,211,9210
2875,212,5692
2916,1,1139555
2916,2,62552
2916,3,1149755
2916,4,162
2916,5,1567007
2916,6,105907
2916,7,791699
2916,8,2438784
2916,9,883644
2916,10,28660
2916,11,137538
2916,12,90483
2916,13,127
2916,18,2716
2916,23,13
2916,35,10058
2916,37,300
2916,38,5493
2916,53,26690
2916,57,16
2916,58,44691
2916,63,16
2916,65,21816
2916,73,225
2916,75,1
2916,78,2263
2916,83,1795
2916,85,17315
2916,87,2227
2916,93,1035
2916,95,942
2916,97,1
2916,98,704
2916,105,398
2916,108,41
