polygon_id,class,pixel_count
23980,3,70
23980,5,4
23980,7,235
23980,8,192
23980,9,199
23980,12,4
24711,3,45
24711,5,10
24711,7,106
24711,8,170
24711,9,276
24711,11,37
24711,12,60
99148,3,181
99148,5,525
24730,3,104
24730,5,32
24730,7,202
24730,8,7
24730,9,154
24730,10,18
24730,11,16
24730,12,173
171534,3,123
171534,5,292
171534,7,13
171534,9,201
171534,10,7
171534,12,67
24869,7,217
24869,8,248
24869,9,244
91669,3,353
91669,5,224
91669,8,2
91669,9,81
91669,11,31
91669,12,14
25349,3,19
25349,5,50
25349,7,293
25349,8,47
25349,9,239
25349,11,5
25349,12,52
25349,212,1
90842,3,122
90842,5,196
90842,8,6
90842,9,309
90842,12,76
25396,3,21
25396,5,90
25396,7,225
25396,8,35
25396,9,274
25396,10,30
25396,11,14
25396,12,18
143593,5,163
143593,7,52
143593,8,128
143593,9,346
143593,12,17
90246,3,79
90246,5,163
90246,8,12
90246,9,429
90246,12,8
90246,53,14
90246,212,2
25688,3,60
25688,5,111
25688,7,83
25688,8,100
25688,9,91
25688,10,1
25688,11,15
25688,12,241
143717,3,179
143717,5,147
143717,9,282
143717,12,100
90190,3,35
90190,5,147
90190,8,1
90190,9,436
90190,12,73
90190,53,7
90190,93,4
90190,212,3
25892,5,27
25892,7,190
25892,8,146
25892,9,286
25892,10,3
25892,11,14
25892,12,17
25892,211,9
25892,212,16
143758,3,152
143758,5,199
143758,8,12
143758,9,269
143758,12,62
143758,53,6
143758,212,5
90209,3,197
90209,5,101
90209,8,4
90209,9,331
90209,12,75
27742,3,23
27742,5,10
27742,7,141
27742,8,108
27742,9,372
27742,10,1
27742,11,15
27742,12,34
143770,3,144
143770,5,209
143770,8,25
143770,9,284
143770,12,42
90120,3,55
90120,5,212
90120,8,5
90120,9,383
90120,12,13
90120,53,22
90120,93,15
90120,211,3
90120,212,1
27850,3,46
27850,5,16
27850,7,259
27850,8,42
27850,9,204
27850,10,18
27850,11,26
27850,12,97
143815,3,91
143815,5,211
143815,8,18
143815,9,332
143815,12,56
90128,3,69
90128,5,193
90128,8,8
90128,9,368
90128,11,3
90128,12,21
90128,53,22
90128,93,11
90128,211,4
90128,212,5
27852,3,27
27852,5,17
27852,7,231
27852,8,96
27852,9,318
27852,12,12
143829,5,399
143829,8,118
143829,9,187
143829,12,1
143829,93,2
143829,212,1
90135,3,42
90135,5,241
90135,8,62
90135,9,310
90135,12,50
27962,7,138
27962,8,151
27962,9,418
143934,3,5
143934,5,324
143934,8,2
143934,9,365
143934,11,5
143934,12,4
90148,3,93
90148,5,140
90148,8,5
90148,9,396
90148,11,4
90148,12,29
90148,53,14
90148,93,9
90148,211,4
90148,212,15
146846,3,94
146846,5,216
146846,7,32
146846,8,42
146846,9,253
146846,10,10
146846,11,60
82887,3,19
82887,5,504
82887,8,39
82887,9,22
82887,10,17
82887,11,27
82887,12,60
82887,53,11
82887,210,3
82887,211,9
90225,3,82
90225,5,274
90225,9,189
90225,12,163
143941,3,60
143941,5,269
143941,8,4
143941,9,350
143941,12,23
83354,3,219
83354,5,493
90238,3,68
90238,5,187
90238,8,11
90238,9,427
90238,12,8
90238,53,7
83387,3,156
83387,5,423
83387,8,64
83387,9,17
83387,10,17
83387,11,8
83387,53,11
83387,210,3
83387,211,9
143975,3,97
143975,5,220
143975,9,323
143975,12,64
90844,3,54
90844,5,128
90844,8,9
90844,9,490
90844,11,15
90844,12,8
83390,3,11
83390,5,569
83390,8,4
83390,11,74
83390,12,46
144896,3,63
144896,5,162
144896,7,77
144896,8,112
144896,9,146
144896,11,65
144896,12,83
99123,3,78
99123,5,592
