polygon_id,class,pixel_count
24510120202,3,269998
24510120202,5,135507
24510120202,6,6
24510120202,7,205400
24510120202,8,159438
24510120202,9,123670
24510120202,10,4753
24510120202,11,24146
24510120202,12,35279
24510120202,35,219
24510120202,37,206
24510120202,38,172
24510120202,53,1571
24510120202,57,1250
24510120202,58,11448
24510120202,68,1075
24510120202,73,55
24510120202,83,273
24510120202,85,534
24510120202,87,2891
24510120202,93,282
24510120202,95,22
24510120202,98,25
24510120202,105,25
24510120202,115,425
24510120202,117,119
24510120202,125,181
24510120202,127,45
24510120202,128,5
24510120202,210,262
24510120202,211,1515
24510120202,212,980
24510160500,3,148183
24510160500,5,143670
24510160500,6,3190
24510160500,7,226992
24510160500,8,304674
24510160500,9,145664
24510160500,10,6916
24510160500,11,30855
24510160500,12,19195
24510160500,35,1104
24510160500,37,206
24510160500,38,5723
24510160500,53,961
24510160500,56,1516
24510160500,58,1565
24510160500,73,54
24510160500,83,595
24510160500,85,1623
24510160500,86,73
24510160500,87,24
24510160500,93,358
24510160500,95,18
24510160500,98,54
24510160500,105,149
24510160500,115,1079
24510160500,117,25
24510160500,118,85
24510160500,125,472
24510160500,127,7
24510160500,128,14
24510160500,210,278
24510160500,211,1871
24510160500,212,930
24510272005,3,280558
24510272005,5,267038
24510272005,6,66
24510272005,7,114763
24510272005,8,91863
24510272005,9,89942
24510272005,10,15200
24510272005,11,36046
24510272005,12,25815
24510272005,37,34
24510272005,53,2589
24510272005,58,1246
24510272005,73,2
24510272005,85,335
24510272005,93,21
24510272005,98,23
24510272005,210,443
24510272005,211,1400
24510272005,212,448
24510120201,3,56851
24510120201,5,38939
24510120201,7,103482
24510120201,8,44687
24510120201,9,52923
24510120201,10,9382
24510120201,11,12060
24510120201,12,25794
24510120201,35,143
24510120201,37,315
24510120201,53,687
24510120201,73,32
24510120201,83,157
24510120201,93,171
24510120201,95,43
24510120201,105,100
24510120201,115,145
24510120201,117,74
24510120201,125,215
24510120201,127,10
24510120201,210,225
24510120201,211,805
24510120201,212,763
24510150200,3,26374
24510150200,5,62428
24510150200,7,100944
24510150200,8,105417
24510150200,9,93651
24510150200,10,5241
24510150200,11,8954
24510150200,12,10677
24510150200,35,12
24510150200,37,82
24510150200,38,25
24510150200,53,363
24510150200,56,905
24510150200,57,131
24510150200,58,696
24510150200,73,25
24510150200,78,2099
24510150200,83,52
24510150200,87,102
24510150200,93,100
24510150200,95,35
24510150200,98,2
24510150200,115,192
24510150200,117,9
24510150200,125,228
24510150200,127,15
24510150200,210,271
24510150200,211,711
24510150200,212,591
24510010100,1,145214
24510010100,3,18186
24510010100,5,23218
24510010100,6,255
24510010100,7,129419
24510010100,8,97757
24510010100,9,98420
24510010100,10,1281
24510010100,11,9240
24510010100,12,14630
24510010100,53,158
24510010100,58,148
24510010100,73,108
24510010100,83,393
24510010100,85,148
24510010100,93,413
24510010100,95,7
24510010100,210,390
24510010100,211,1257
24510010100,212,936
24510150300,3,35238
24510150300,5,50799
24510150300,7,97611
24510150300,8,87140
24510150300,9,79644
24510150300,10,3779
24510150300,11,12986
24510150300,12,6408
24510150300,35,452
24510150300,38,462
24510150300,53,507
24510150300,58,292
24510150300,73,32
24510150300,83,125
24510150300,85,17298
24510150300,87,2665
24510150300,93,152
24510150300,95,451
24510150300,105,939
24510150300,115,701
24510150300,125,70
24510150300,210,240
24510150300,211,685
24510150300,212,507
24510272004,3,277940
24510272004,4,618
24510272004,5,134139
24510272004,6,73
24510272004,7,85842
24510272004,8,92850
24510272004,9,43223
24510272004,10,11412
24510272004,11,35057
24510272004,12,23813
24510272004,35,628
24510272004,38,44
24510272004,53,779
24510272004,58,607
24510272004,85,330
24510272004,93,13
24510272004,95,28
24510272004,98,64
24510272004,115,18
24510272004,118,2
24510272004,125,198
24510272004,210,142
24510272004,211,1006
24510272004,212,90
24510010300,1,7716
24510010300,3,95520
24510010300,5,256625
24510010300,6,7887
24510010300,7,87910
24510010300,8,91052
24510010300,9,101611
24510010300,10,2060
24510010300,11,11003
24510010300,12,14637
24510010300,13,5
24510010300,35,52
24510010300,37,25
24510010300,38,150
24510010300,53,3894
24510010300,58,115
24510010300,73,22
24510010300,83,116
24510010300,85,654
24510010300,93,77
24510010300,95,39
24510010300,98,73
24510010300,105,46
24510010300,115,29
24510010300,117,8
24510010300,118,5
24510010300,125,227
24510010300,128,12
24510010300,210,221
24510010300,211,1554
24510010300,212,1034
24510272006,3,171136
24510272006,5,191386
24510272006,6,43
24510272006,7,111654
24510272006,8,113905
24510272006,9,65959
24510272006,10,14015
24510272006,11,32631
24510272006,12,29560
24510272006,35,12
24510272006,37,279
24510272006,38,71
24510272006,53,1483
24510272006,57,1
24510272006,58,101
24510272006,73,69
24510272006,83,127
24510272006,85,2504
24510272006,87,62
24510272006,93,38
24510272006,98,30
24510272006,105,35
24510272006,115,16
24510272006,117,21
24510272006,210,362
24510272006,211,1016
24510272006,212,256
24510150400,3,50876
24510150400,5,133557
24510150400,6,1091
24510150400,7,206838
24510150400,8,243318
24510150400,9,133299
24510150400,10,6079
24510150400,11,16220
24510150400,12,12265
24510150400,35,74
